identity_a,identity_b,similarity
M332,M374,0.59
M163,M183,0.45
M270,M237,0.426
M329,M355,0.4167
M254,M374,0.4083
M321,M223,0.4083
M375,M357,0.4055
M137,M151,0.39
M295,M351,0.39
M169,M190,0.3832
M169,M239,0.3788
M128,M416,0.3758
M254,M295,0.375
M155,M239,0.375
M059,M103,0.3725
M103,M151,0.3718
M127,M239,0.37
M183,M190,0.3667
M375,M127,0.3585
M059,M108,0.3584
M169,M412,0.3583
M254,M351,0.3583
M103,M102,0.3571
M163,M190,0.3556
M155,M416,0.3548
M254,M332,0.3527
M127,M270,0.3514
M185,M168,0.3498
M183,M329,0.3476
M127,M183,0.3475
M272,M151,0.3468
M149,M198,0.3464
M127,M329,0.3438
M059,M223,0.3424
M108,M198,0.3417
M235,M223,0.3417
M103,M272,0.3417
M183,M321,0.3405
M102,M304,0.34
M270,M295,0.3393
M375,M237,0.3379
M127,M149,0.3375
M347,M222,0.3363
M128,M185,0.3345
M375,M149,0.3335
M059,M102,0.3334
M108,M254,0.3321
M272,M137,0.3318
M155,M295,0.3317
M416,M321,0.3316
M103,M402,0.3303
M252,M237,0.3302
M169,M155,0.3302
M169,M163,0.3288
M103,M143,0.3284
M163,M177,0.3281
M169,M223,0.325
M223,M304,0.325
M355,M357,0.325
M231,M321,0.325
M183,M239,0.325
M108,M128,0.325
M375,M270,0.3242
M128,M239,0.3241
M143,M168,0.3233
M149,M168,0.3222
M169,M102,0.3214
M386,M304,0.32
M190,M239,0.3192
M347,M198,0.3188
M239,M374,0.3167
M155,M412,0.3167
M183,M223,0.3167
M239,M412,0.3167
M350,M365,0.3155
M102,M374,0.315
M169,M270,0.3125
M169,M402,0.3125
M169,M416,0.3115
M401,M222,0.3102
M321,M355,0.31
M102,M223,0.31
M231,M402,0.31
M383,M231,0.31
M169,M321,0.31
M183,M143,0.3092
M375,M198,0.3087
M412,M374,0.3083
M198,M386,0.3083
M412,M304,0.3083
M127,M351,0.3078
M329,M332,0.3047
M351,M102,0.3047
M402,M102,0.3047
M155,M351,0.3046
M347,M239,0.3043
M185,M350,0.3042
M383,M237,0.3042
M163,M355,0.3038
M350,M137,0.3038
M059,M137,0.3036
M128,M355,0.3031
M185,M321,0.3018
M168,M355,0.3017
M350,M345,0.3015
M235,M231,0.3013
M103,M137,0.3006
M059,M329,0.3001
M108,M374,0.3
M329,M357,0.3
M386,M153,0.3
M329,M374,0.3
M329,M223,0.3
M127,M237,0.2998
M190,M177,0.299
M059,M153,0.2986
M108,M137,0.2976
M270,M321,0.2975
M127,M304,0.2964
M401,M237,0.2964
M185,M345,0.2958
M163,M402,0.2955
M321,M262,0.2943
M270,M402,0.2938
M270,M329,0.2938
M272,M198,0.2938
M231,M223,0.2933
M143,M332,0.293
M254,M102,0.293
M128,M155,0.2929
M383,M386,0.2917
M222,M223,0.2917
M237,M416,0.2917
M190,M304,0.2917
M128,M198,0.2917
M183,M355,0.2913
M270,M239,0.2913
M108,M153,0.2913
M169,M183,0.2913
M149,M254,0.2911
M347,M231,0.2911
M401,M321,0.2911
M163,M321,0.2905
M128,M254,0.2905
M222,M231,0.2905
M347,M357,0.2901
M375,M304,0.29
M169,M375,0.2895
M401,M357,0.2887
M163,M351,0.2876
M401,M177,0.2875
M235,M383,0.2875
M375,M345,0.2871
M059,M151,0.2869
M412,M332,0.2866
M239,M332,0.2863
M351,M345,0.2861
M235,M252,0.2853
M321,M329,0.285
M252,M383,0.2847
M183,M231,0.2842
M235,M401,0.284
M235,M177,0.2839
M375,M386,0.2837
M412,M102,0.2834
M168,M321,0.2833
M386,M412,0.2833
M270,M374,0.2833
M321,M351,0.2833
M270,M412,0.2833
M270,M223,0.2833
M198,M374,0.2833
M190,M102,0.2829
M059,M270,0.2828
M059,M169,0.2828
M149,M239,0.2825
M401,M402,0.2825
M127,M155,0.2825
M185,M365,0.2822
M185,M137,0.2818
M416,M177,0.2818
M137,M168,0.281
M401,M416,0.281
M198,M231,0.281
M254,M355,0.281
M383,M183,0.2806
M103,M108,0.2806
M375,M329,0.2805
M103,M198,0.2804
M155,M190,0.2804
M295,M151,0.28
M355,M332,0.2797
M137,M345,0.2797
M155,M321,0.279
M239,M321,0.279
M270,M163,0.2788
M127,M168,0.2784
M351,M365,0.2783
M163,M412,0.2778
M375,M223,0.2773
M059,M351,0.277
M155,M102,0.2765
M416,M223,0.2762
M149,M345,0.2757
M190,M329,0.2756
M252,M222,0.2753
M151,M153,0.275
M347,M374,0.275
M304,M374,0.275
M137,M153,0.275
M183,M416,0.275
M163,M223,0.275
M128,M386,0.275
M108,M386,0.275
M155,M163,0.275
M103,M351,0.2739
M190,M143,0.2739
M231,M345,0.2727
M231,M386,0.2726
M155,M355,0.2726
M239,M329,0.2726
M137,M143,0.2722
M235,M357,0.2716
M347,M137,0.2716
M149,M374,0.2714
M149,M304,0.2714
M127,M374,0.2714
M270,M332,0.2714
M270,M102,0.2714
M270,M190,0.2707
M059,M295,0.2707
M059,M254,0.2707
M183,M237,0.2706
M347,M351,0.2701
M357,M178,0.27
M059,M374,0.2699
M102,M332,0.2699
M128,M321,0.2692
M239,M365,0.2692
M137,M365,0.2683
M143,M402,0.2683
M198,M351,0.2683
M351,M374,0.2683
M351,M412,0.2683
M235,M183,0.268
M108,M185,0.2679
M190,M321,0.2677
M190,M231,0.2677
M375,M235,0.2675
M401,M412,0.2673
M127,M190,0.2673
M137,M374,0.2667
M169,M151,0.2667
M357,M374,0.2667
M185,M304,0.2667
M386,M402,0.2667
M183,M402,0.2663
M270,M155,0.2663
M416,M262,0.2662
M252,M272,0.2659
M103,M163,0.2659
M163,M143,0.2655
M347,M402,0.2651
M127,M198,0.2651
M347,M329,0.2651
M375,M374,0.265
M345,M374,0.265
M402,M151,0.265
M223,M262,0.265
M304,M345,0.265
M375,M383,0.2648
M252,M231,0.2643
M254,M357,0.2643
M163,M222,0.2639
M108,M102,0.2638
M149,M185,0.2632
M127,M185,0.2632
M108,M168,0.2629
M128,M168,0.2629
M237,M239,0.2625
M155,M183,0.2625
M272,M345,0.2624
M190,M332,0.2624
M350,M153,0.2622
M108,M151,0.2622
M185,M355,0.2619
M375,M355,0.2617
M375,M332,0.2616
M198,M345,0.2616
M169,M222,0.2615
M108,M402,0.2614
M143,M102,0.2611
M190,M416,0.2611
M183,M304,0.2611
M149,M383,0.2605
M239,M198,0.2604
M127,M347,0.2604
M383,M163,0.2604
M270,M347,0.2603
M127,M128,0.2602
M231,M329,0.26
M231,M357,0.26
M321,M402,0.26
M295,M412,0.26
M383,M143,0.26
M321,M357,0.26
M321,M332,0.2597
M365,M345,0.2597
M108,M355,0.2593
M128,M357,0.2593
M239,M168,0.2592
M235,M329,0.2591
M127,M223,0.2591
M169,M262,0.259
M402,M412,0.2583
M383,M153,0.2583
M169,M304,0.2583
M383,M402,0.2583
M198,M357,0.2583
M235,M345,0.2583
M190,M295,0.2581
M103,M345,0.2579
M375,M102,0.2575
M375,M347,0.2575
M239,M345,0.2571
M185,M151,0.2568
M103,M153,0.2568
M185,M153,0.2568
M239,M295,0.2567
M270,M183,0.2566
M059,M402,0.2564
M235,M416,0.2562
M252,M143,0.256
M270,M351,0.256
M239,M416,0.2548
M357,M102,0.2547
M169,M231,0.2538
M270,M231,0.2538
M383,M321,0.2538
M128,M137,0.2538
M222,M329,0.2538
M149,M190,0.2535
M198,M151,0.2533
M412,M153,0.2533
M222,M198,0.2528
M155,M223,0.2528
M108,M143,0.2526
M235,M254,0.2524
M169,M198,0.2521
M383,M272,0.2519
M375,M155,0.2516
M375,M239,0.2516
M235,M237,0.2515
M149,M143,0.2513
M127,M345,0.2507
M190,M355,0.2506
M108,M239,0.2505
M383,M416,0.2505
M169,M128,0.2503
M143,M231,0.25
M270,M357,0.25
M185,M198,0.25
M386,M374,0.25
M383,M198,0.25
M169,M177,0.25
M128,M350,0.25
M383,M223,0.25
M198,M412,0.25
M143,M321,0.25
M163,M416,0.25
M329,M402,0.25
M347,M386,0.25
M169,M329,0.25
M347,M332,0.2499
M235,M262,0.2499
M321,M102,0.2495
M254,M345,0.2495
M183,M262,0.2488
M383,M239,0.2486
M375,M185,0.2486
M059,M178,0.2485
M103,M365,0.2481
M183,M168,0.2478
M239,M231,0.2478
M347,M383,0.2478
M239,M262,0.2477
M239,M355,0.2476
M155,M357,0.2476
M416,M357,0.2469
M177,M412,0.2467
M127,M102,0.2465
M401,M223,0.2464
M169,M332,0.2464
M149,M386,0.2464
M252,M262,0.2464
M127,M412,0.2464
M128,M231,0.2463
M169,M383,0.2458
M375,M321,0.2452
M375,M231,0.2452
M329,M178,0.245
M059,M304,0.2449
M163,M102,0.2447
M375,M351,0.2441
M149,M329,0.2438
M127,M357,0.2438
M149,M402,0.2438
M149,M155,0.2436
M168,M304,0.2433
M295,M374,0.2433
M347,M103,0.2432
M103,M304,0.2429
M103,M374,0.2429
M169,M103,0.2428
M103,M295,0.2427
M272,M254,0.2419
M272,M295,0.2419
M357,M223,0.2417
M355,M374,0.2417
M237,M223,0.2417
M295,M365,0.2417
M357,M386,0.2417
M177,M355,0.2417
M128,M412,0.2417
M402,M223,0.2417
M149,M351,0.2411
M163,M231,0.2405
M155,M168,0.2405
M108,M351,0.2405
M128,M295,0.2405
M108,M332,0.2405
M222,M321,0.2405
M222,M262,0.2405
M128,M351,0.2405
M347,M155,0.2404
M222,M151,0.2403
M401,M163,0.2401
M149,M128,0.2401
M127,M108,0.2401
M295,M329,0.2393
M351,M357,0.2393
M163,M295,0.2392
M401,M155,0.2392
M169,M127,0.2389
M059,M198,0.2387
M059,M375,0.2383
M347,M108,0.2381
M239,M351,0.2379
M237,M143,0.2379
M239,M350,0.2375
M252,M270,0.2375
M155,M350,0.2375
M169,M137,0.2375
M155,M177,0.237
M163,M237,0.2366
M103,M412,0.2366
M108,M155,0.2366
M237,M357,0.2364
M108,M357,0.2364
M222,M102,0.2363
M239,M223,0.2361
M350,M304,0.2361
M155,M386,0.2354
M383,M401,0.2353
M169,M347,0.2353
M401,M183,0.2352
M252,M295,0.2352
M168,M198,0.235
M168,M402,0.235
M169,M168,0.235
M351,M151,0.235
M198,M254,0.235
M168,M329,0.235
M270,M143,0.235
M137,M254,0.235
M137,M295,0.235
M127,M254,0.2349
M127,M295,0.2349
M149,M295,0.2349
M347,M143,0.2349
M237,M386,0.2347
M231,M332,0.2347
M168,M102,0.2347
M295,M102,0.2347
M401,M128,0.2345
M237,M365,0.2345
M365,M374,0.2343
M143,M304,0.2343
M375,M252,0.2341
M270,M304,0.2333
M169,M386,0.2333
M231,M351,0.2333
M198,M329,0.2333
M137,M198,0.2333
M185,M386,0.2333
M270,M103,0.233
M383,M351,0.2326
M375,M178,0.2323
M059,M127,0.2321
M190,M402,0.2318
M178,M223,0.2317
M155,M254,0.2317
M237,M321,0.2317
M237,M295,0.2316
M270,M365,0.2306
M237,M332,0.2305
M103,M321,0.2305
M347,M163,0.2301
M127,M235,0.2298
M059,M350,0.2297
M059,M347,0.2293
M347,M153,0.2291
M222,M357,0.2288
M270,M168,0.2288
M350,M231,0.2284
M128,M262,0.2281
M235,M355,0.2279
M235,M190,0.2279
M059,M272,0.2278
M127,M272,0.2271
M383,M357,0.2271
M272,M143,0.2268
M222,M332,0.2265
M163,M332,0.2265
M239,M102,0.2265
M183,M332,0.2265
M231,M153,0.2264
M375,M272,0.2263
M347,M183,0.2252
M347,M102,0.225
M347,M304,0.225
M169,M149,0.225
M347,M345,0.225
M185,M272,0.225
M183,M222,0.225
M383,M332,0.225
M252,M177,0.225
M198,M304,0.225
M169,M355,0.225
M357,M402,0.225
M270,M355,0.225
M355,M402,0.225
M169,M357,0.225
M350,M329,0.2245
M237,M272,0.2242
M235,M163,0.2242
M185,M239,0.2236
M350,M412,0.2236
M272,M351,0.2231
M239,M143,0.2228
M155,M143,0.2228
M155,M231,0.2228
M350,M254,0.2228
M321,M386,0.2226
M351,M178,0.2226
M143,M374,0.2226
M155,M402,0.2226
M321,M304,0.2226
M401,M185,0.2223
M355,M365,0.2222
M127,M416,0.2222
M149,M416,0.2222
M347,M190,0.2217
M149,M102,0.2215
M149,M347,0.2215
M402,M332,0.2214
M329,M102,0.2214
M345,M153,0.2214
M357,M332,0.2214
M345,M151,0.2214
M149,M412,0.2214
M347,M355,0.2214
M416,M231,0.2212
M347,M237,0.221
M185,M329,0.2202
M127,M231,0.2201
M149,M231,0.2201
M235,M321,0.2201
M149,M321,0.2201
M127,M321,0.2201
M178,M374,0.22
M223,M374,0.22
M235,M332,0.22
M059,M386,0.2199
M128,M345,0.2197
M163,M304,0.2194
M163,M386,0.2194
M190,M412,0.2188
M128,M183,0.2188
M222,M239,0.2188
M272,M412,0.2188
M127,M355,0.2188
M108,M183,0.2188
M149,M355,0.2188
M149,M357,0.2188
M163,M239,0.2188
M108,M350,0.2188
M185,M178,0.2179
M190,M223,0.2179
M252,M190,0.2178
M137,M102,0.2174
M270,M345,0.2173
M127,M178,0.2173
M375,M365,0.2168
M108,M412,0.2167
M177,M223,0.2167
M103,M185,0.2167
M108,M304,0.2167
M155,M198,0.2167
M239,M304,0.2167
M239,M386,0.2167
M103,M128,0.2167
M149,M103,0.2165
M127,M103,0.2165
M127,M163,0.2162
M237,M374,0.2159
M108,M295,0.2155
M059,M155,0.2155
M222,M143,0.2155
M103,M168,0.215
M252,M239,0.2147
M177,M295,0.2144
M177,M254,0.2144
M383,M185,0.2144
M169,M351,0.2143
M295,M402,0.2143
M321,M412,0.2143
M254,M329,0.2143
M295,M355,0.2143
M198,M321,0.2143
M177,M321,0.2143
M143,M198,0.2143
M103,M155,0.2139
M149,M270,0.2139
M103,M190,0.2139
M059,M185,0.2139
M252,M168,0.2139
M103,M239,0.2139
M059,M412,0.2137
M375,M254,0.2129
M237,M231,0.2129
M295,M332,0.2127
M231,M262,0.2127
M402,M153,0.2125
M128,M365,0.2124
M416,M168,0.2118
M375,M402,0.2117
M237,M355,0.2114
M155,M137,0.2114
M237,M329,0.2114
M183,M177,0.2114
M108,M345,0.2113
M183,M374,0.2111
M350,M374,0.2111
M183,M386,0.2111
M190,M350,0.2111
M222,M412,0.2111
M149,M237,0.2109
M347,M262,0.2107
