symbol,anchor_role,anchor_confidence,avg_position,position_variance,count,context_diversity,is_identity_core
M059,HUB_AUTHORITY,1.0,0.578,0.1482,222,97,True
M062,CLASSIFIER,0.96,0.0,0.0,28,18,False
M220,CASE_MARKER,0.9488,0.992,0.004,62,52,False
M305,CASE_MARKER,0.9482,0.988,0.0057,83,57,False
M249,CASE_MARKER,0.9472,0.981,0.01,73,54,False
M073,CLASSIFIER,0.9171,0.0,0.0,25,18,False
M045,CLASSIFIER,0.9029,0.0,0.0,24,17,False
M079,CLASSIFIER,0.9029,0.0,0.0,24,18,False
M013,CLASSIFIER,0.8886,0.0,0.0,23,15,False
M016,CLASSIFIER,0.8886,0.0,0.0,23,14,False
M022,CLASSIFIER,0.8743,0.0,0.0,22,15,False
M008,CLASSIFIER,0.8743,0.0,0.0,22,15,False
M061,CLASSIFIER,0.8743,0.0,0.0,22,13,False
M052,CLASSIFIER,0.8743,0.0,0.0,22,19,False
M058,CLASSIFIER,0.86,0.0,0.0,21,15,False
M060,CLASSIFIER,0.8457,0.0,0.0,20,13,False
M019,CLASSIFIER,0.8457,0.0,0.0,20,15,False
M003,CLASSIFIER,0.8314,0.0,0.0,19,13,False
M035,CLASSIFIER,0.8314,0.0,0.0,19,12,False
M080,CLASSIFIER,0.8314,0.0,0.0,19,16,False
M044,CLASSIFIER,0.8314,0.0,0.0,19,15,False
M053,CLASSIFIER,0.8314,0.0,0.0,19,16,False
M056,CLASSIFIER,0.8314,0.0,0.0,19,12,False
M030,CLASSIFIER,0.8171,0.0,0.0,18,11,False
M017,CLASSIFIER,0.8171,0.0,0.0,18,12,False
M077,CLASSIFIER,0.8171,0.0,0.0,18,16,False
M057,CLASSIFIER,0.8171,0.0,0.0,18,14,False
M039,CLASSIFIER,0.8171,0.0,0.0,18,16,False
M020,CLASSIFIER,0.8171,0.0,0.0,18,17,False
M018,CLASSIFIER,0.8171,0.0,0.0,18,13,False
M063,CLASSIFIER,0.8171,0.0,0.0,18,14,False
M038,CLASSIFIER,0.8029,0.0,0.0,17,16,False
M027,CLASSIFIER,0.8029,0.0,0.0,17,12,False
M041,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M034,CLASSIFIER,0.8029,0.0,0.0,17,15,False
M004,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M014,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M026,CLASSIFIER,0.8029,0.0,0.0,17,15,False
M078,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M010,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M070,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M050,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M025,CLASSIFIER,0.8029,0.0,0.0,17,12,False
M069,CLASSIFIER,0.7886,0.0,0.0,16,15,False
M002,CLASSIFIER,0.7886,0.0,0.0,16,10,False
M037,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M031,CLASSIFIER,0.7886,0.0,0.0,16,10,False
M021,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M066,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M023,CLASSIFIER,0.7886,0.0,0.0,16,12,False
M071,CLASSIFIER,0.7886,0.0,0.0,16,12,False
M009,CLASSIFIER,0.7886,0.0,0.0,16,14,False
M006,CLASSIFIER,0.7743,0.0,0.0,15,12,False
M005,CLASSIFIER,0.7743,0.0,0.0,15,11,False
M015,CLASSIFIER,0.7743,0.0,0.0,15,14,False
M036,CLASSIFIER,0.7743,0.0,0.0,15,11,False
M067,CLASSIFIER,0.7743,0.0,0.0,15,13,False
M011,CLASSIFIER,0.7743,0.0,0.0,15,13,False
M075,CLASSIFIER,0.76,0.0,0.0,14,11,False
M001,CLASSIFIER,0.76,0.0,0.0,14,11,False
M047,CLASSIFIER,0.7457,0.0,0.0,13,14,False
M049,CLASSIFIER,0.7457,0.0,0.0,13,10,False
M068,CLASSIFIER,0.7457,0.0,0.0,13,9,False
M040,CLASSIFIER,0.7457,0.0,0.0,13,10,False
M024,CLASSIFIER,0.7457,0.0,0.0,13,11,False
M081,CLASSIFIER,0.7457,0.0,0.0,13,12,False
M042,CLASSIFIER,0.7457,0.0,0.0,13,11,False
M072,CLASSIFIER,0.7314,0.0,0.0,12,8,False
M054,CLASSIFIER,0.7314,0.0,0.0,12,12,False
M074,CLASSIFIER,0.7314,0.0,0.0,12,12,False
M033,CLASSIFIER,0.7314,0.0,0.0,12,9,False
M055,CLASSIFIER,0.7314,0.0,0.0,12,12,False
M125,WEAK_CASE_MARKER,0.7202,0.734,0.12,132,86,False
M046,CLASSIFIER,0.7171,0.0,0.0,11,10,False
M064,CLASSIFIER,0.7171,0.0,0.0,11,11,False
M007,CLASSIFIER,0.7171,0.0,0.0,11,11,False
M043,CLASSIFIER,0.7171,0.0,0.0,11,10,False
M028,CLASSIFIER,0.7171,0.0,0.0,11,10,False
M029,CLASSIFIER,0.7171,0.0,0.0,11,9,False
M233,WEAK_CASE_MARKER,0.7136,0.712,0.1336,171,101,False
M032,CLASSIFIER,0.6886,0.0,0.0,9,9,False
M082,CLASSIFIER,0.66,0.0,0.0,7,8,False
M076,CLASSIFIER,0.66,0.0,0.0,7,8,False
M342,RELATIONAL_MARKER,0.6,0.561,0.0643,584,120,False
M267,RELATIONAL_MARKER,0.56,0.54,0.0778,400,116,False
M099,RELATIONAL_MARKER,0.5556,0.598,0.0775,389,116,False
M176,RELATIONAL_MARKER,0.5424,0.607,0.0757,356,117,False
M211,RELATIONAL_MARKER,0.4996,0.622,0.0931,249,110,False
M328,RELATIONAL_MARKER,0.4936,0.595,0.1089,234,108,False
M293,RELATIONAL_MARKER,0.4928,0.621,0.1086,232,105,False
M162,RELATIONAL_MARKER,0.482,0.608,0.1197,205,104,False
M391,RELATIONAL_MARKER,0.4772,0.6,0.119,193,103,False
M367,RELATIONAL_MARKER,0.476,0.695,0.1236,190,100,False
M237,FLEXIBLE_AGENT,0.4757,0.518,0.0321,8,15,True
M169,FLEXIBLE_AGENT,0.4757,0.485,0.0381,8,16,True
M347,FLEXIBLE_AGENT,0.4757,0.399,0.032,8,16,True
M272,FLEXIBLE_AGENT,0.4725,0.462,0.0039,7,14,True
M383,FLEXIBLE_AGENT,0.4725,0.307,0.0332,7,13,True
M102,FLEXIBLE_AGENT,0.4725,0.502,0.0341,8,14,True
M128,FLEXIBLE_AGENT,0.4725,0.451,0.0291,7,13,True
M149,FLEXIBLE_AGENT,0.4725,0.443,0.0438,7,13,True
M235,FLEXIBLE_AGENT,0.4725,0.536,0.0343,7,13,True
M375,FLEXIBLE_AGENT,0.4705,0.518,0.0412,7,13,True
M185,FLEXIBLE_AGENT,0.4705,0.457,0.0479,7,12,True
M198,FLEXIBLE_AGENT,0.4693,0.347,0.0149,6,11,True
M401,FLEXIBLE_AGENT,0.4693,0.583,0.05,6,12,True
M270,FLEXIBLE_AGENT,0.4693,0.464,0.0337,6,12,True
M351,FLEXIBLE_AGENT,0.4693,0.355,0.0208,6,11,True
M252,FLEXIBLE_AGENT,0.4693,0.557,0.0516,6,12,True
M168,FLEXIBLE_AGENT,0.4693,0.422,0.0136,6,12,True
M386,FLEXIBLE_AGENT,0.4693,0.385,0.0265,6,11,True
M332,FLEXIBLE_AGENT,0.4693,0.43,0.0113,6,12,True
M089,RELATIONAL_MARKER,0.4684,0.684,0.1177,171,100,False
M127,FLEXIBLE_AGENT,0.4673,0.494,0.0636,6,11,True
M374,FLEXIBLE_AGENT,0.4673,0.436,0.026,6,10,True
M151,FLEXIBLE_AGENT,0.4661,0.433,0.0372,5,10,True
M231,FLEXIBLE_AGENT,0.4661,0.45,0.0267,5,10,True
M183,FLEXIBLE_AGENT,0.4661,0.435,0.0469,5,10,True
M355,FLEXIBLE_AGENT,0.4661,0.655,0.0418,5,10,True
M295,FLEXIBLE_AGENT,0.4661,0.574,0.0385,5,10,True
M402,FLEXIBLE_AGENT,0.4661,0.323,0.0465,5,10,True
M190,FLEXIBLE_AGENT,0.4661,0.533,0.0627,5,10,True
M262,FLEXIBLE_AGENT,0.4661,0.327,0.0073,5,10,True
M239,FLEXIBLE_AGENT,0.4661,0.407,0.026,5,10,True
M155,FLEXIBLE_AGENT,0.4661,0.677,0.0326,5,10,True
M304,FLEXIBLE_AGENT,0.4661,0.427,0.0202,5,10,True
M350,FLEXIBLE_AGENT,0.4661,0.473,0.034,5,10,True
M321,FLEXIBLE_AGENT,0.4661,0.49,0.0602,5,10,True
M254,FLEXIBLE_AGENT,0.4661,0.457,0.0342,5,10,True
M177,FLEXIBLE_AGENT,0.4661,0.482,0.0327,5,10,True
M357,FLEXIBLE_AGENT,0.4661,0.44,0.0442,5,10,True
M223,FLEXIBLE_AGENT,0.4661,0.52,0.0127,5,10,True
M103,FLEXIBLE_AGENT,0.4661,0.533,0.0156,5,10,True
M051,RELATIONAL_MARKER,0.4652,0.653,0.1687,163,96,False
M336,RELATIONAL_MARKER,0.4644,0.681,0.1255,161,97,False
M048,RELATIONAL_MARKER,0.4628,0.627,0.1651,157,95,False
M065,RELATIONAL_MARKER,0.4616,0.669,0.1739,154,91,False
M012,RELATIONAL_MARKER,0.4572,0.605,0.1605,143,87,False
M087,RELATIONAL_MARKER,0.452,0.678,0.1285,130,85,False
M222,CORE_ENTITY,0.3661,0.571,0.0315,5,9,True
M412,CORE_ENTITY,0.3661,0.56,0.0442,5,9,True
M163,CORE_ENTITY,0.3661,0.475,0.0505,5,9,True
M108,CORE_ENTITY,0.3661,0.57,0.0207,5,9,True
M143,CORE_ENTITY,0.3661,0.397,0.0277,5,9,True
M153,CORE_ENTITY,0.3661,0.35,0.0067,5,9,True
M178,CORE_ENTITY,0.3661,0.326,0.0053,5,9,True
M137,CORE_ENTITY,0.3661,0.34,0.0313,5,9,True
M416,CORE_ENTITY,0.3661,0.467,0.0378,5,9,True
M345,CORE_ENTITY,0.3661,0.533,0.0406,5,9,True
M365,CORE_ENTITY,0.3641,0.477,0.0355,5,7,True
M329,CORE_ENTITY,0.3641,0.6,0.0178,5,9,True
